"ＦＩ－相当年度","ＦＩ－宛名番号","ＦＩ－履歴番号","ＦＩ－世帯番号","ＦＩ－続柄","ＦＩ－生年月日","ＦＩ－前年１２月３１日年齢","ＦＩ－本年１月１日年齢","ＦＩ－性別","ＦＩ－個人法人区分","ＦＩ－個人基本種別","ＦＩ－個人基本廃止理由","ＦＩ－年金中止理由","ＦＩ－前年死亡","ＦＩ－外字フラグ","ＦＩ－通称名優先区分","ＦＩ－在留の資格コード","ＦＩ－在留期間開始日","ＦＩ－在留期間終了日","ＦＩ－カナ氏名","ＦＩ－検索カナ氏名","ＦＩ－漢字氏名","ＦＩ－カナ通称名","ＦＩ－漢字通称名","ＦＩ－住所区分","ＦＩ－市外住所コード","ＦＩ－住所町名コード","ＦＩ－住所番地コード","ＦＩ－住所枝番コード","ＦＩ－住所小枝番コード","ＦＩ－住所枝番３コード","ＦＩ－住所番地編集区分","ＦＩ－住所","ＦＩ－住所方書コード","ＦＩ－方書","ＦＩ－宛名異動日","ＦＩ－宛名異動理由コード","ＦＩ－届出日","ＦＩ－住民日","ＦＩ－住定日","ＦＩ－消除日","ＦＩ－納税者番号","ＦＩ－本籍地","ＦＩ－筆頭者名","ＦＩ－本人障害区分","ＦＩ－生活扶助区分","ＦＩ－個人基本寡フ区分","ＦＩ－個人基本勤学区分","ＦＩ－個人基本専従主","ＦＩ－個人基本専従者","ＦＩ－個人基本メモコード１","ＦＩ－個人基本メモコード２","ＦＩ－個人基本メモコード３","ＦＩ－個人基本メモコード４","ＦＩ－個人基本メモコード５","ＦＩ－個人基本メモコード６","ＦＩ－個人基本メモコード７","ＦＩ－個人基本メモコード８","ＦＩ－個人基本メモコード９","ＦＩ－メモ内容","ＦＩ－申告書発送区分","ＦＩ－出力通知年月日１","ＦＩ－宛名履歴番号１","ＦＩ－個人基本履歴番号１","ＦＩ－オンバッチ区分１","ＦＩ－出力通知年月日２","ＦＩ－宛名履歴番号２","ＦＩ－個人基本履歴番号２","ＦＩ－オンバッチ区分２","ＦＩ－出力通知年月日３","ＦＩ－宛名履歴番号３","ＦＩ－個人基本履歴番号３","ＦＩ－オンバッチ区分３","ＦＩ－出力通知年月日４","ＦＩ－宛名履歴番号４","ＦＩ－個人基本履歴番号４","ＦＩ－オンバッチ区分４","ＦＩ－出力通知年月日５","ＦＩ－宛名履歴番号５","ＦＩ－個人基本履歴番号５","ＦＩ－オンバッチ区分５","ＦＩ－更新年月日","ＦＩ－更新時間","ＦＩ－自治体識別コード","ＦＩ－消除区分","ＦＩ－夫婦関連者区分コード","ＦＩ－夫婦関連者種別コード","ＦＩ－夫婦関連者宛名番号","ＦＩ－夫婦関連者状態区分","ＦＩ－扶養関連者区分コード","ＦＩ－扶養関連者種別コード","ＦＩ－扶養関連者宛名番号","ＦＩ－扶養関連者状態区分","ＦＩ－専従関連者区分コード","ＦＩ－専従関連者種別コード","ＦＩ－専従関連者宛名番号","ＦＩ－専従関連者状態区分","ＦＩ－超過フラグ","ＦＩ－基礎年金番号","ＦＩ－本年４月１日年齢","ＦＩ－個人基本ひとり親区分","ＦＩ－予備"
"2024","0000000040",+1,"0002537641","02","19630430",+60,+60,"1","0","1",,,,,,,,,"タカナミ　タカシ","タカナミタカシ","髙波　貴",,,"0",,"030001","０００１７","００００８","０００００","０００００","01","１７番８号",,,"20031012","C04","20031016","19650430","20031012",,"0004036001","桜上水１丁目１番","髙波　貴",,,,,,,,,,,,,,,,,,,,+0,,,,+0,,,,+0,,,,+0,,,,+0,,"20240419","20481359",,,"1","10","0000720644","1",,,,,,,,,,,+60,,
"2024","0000000101",+2,"0001880180","02","19360306",+87,+87,"1","0","1",,"03",,,,,,,"ウエノ　モリヒコ","ウエノモリヒコ","植野　盛彦",,,"0",,"030001","００００１","００００８","００３０４","０００００","01","１番８－３０４号",,,"19931022","C04","19931028","19581226","19931022",,"0001417423","桜上水１丁目３２番地","植野　盛彦",,,,,,,"41",,,,,,,,,,,,,+0,,,,+0,,,,+0,,,,+0,,,,+0,,"20240517","21265121",,,,,,,,,,,,,,,,"2104394601",+88,,
"2024","0000000103",+1,"0001880180","20","19620310",+61,+61,"2","0","1",,,,,,,,,"ウエノ　ユカ","ウエノユカ","植野　結花",,,"0",,"030001","００００１","００００８","００３０４","０００００","01","１番８－３０４号",,,"19931022","C04","19931028","19620310","19931022",,"0001481710","桜上水１丁目３２番地","植野　盛彦",,,,,,,,,,,,,,,,,,,,+0,,,,+0,,,,+0,,,,+0,,,,+0,,"20240227","21111878",,,,,,,"2","24","0000000101","1",,,,,,,+62,,
"2024","0000000214",+4,"0001877132","02","19370425",+86,+86,"2","0","1",,"15",,,,,,,"アリイ　タマエ","アリイタマエ","有井　玉江",,,"0",,"030001","００００１","００００３","００３０２","０００００","01","１番３－３０２号",,,"20220102","D01","20220111","19670715","19931008",,"0001197071","山梨県北杜市須玉町比志２８３番地","有井　邦昭",,,,,,,"41",,,,,,,,,,,,,+0,,,,+0,,,,+0,,,,+0,,,,+0,,"20240517","21265121",,,,,,,,,,,,,,,,"2128079971",+86,,
